,MACROECONOMIC AGGRREGATES (At Current Prices),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Base Year: 2011-12,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,(Rupees Crore),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Year,Population (Crore),GVA at Basic Prices,Net taxes on Products,Gross Domestic Product,Consumption of Fixed Capital,Net Domestic Product,Primary income receivable from ROW (net),Gross National Income,Net National Income,Other current transfers (net) from ROW,Gross National Disposable Income,Net National Disposable Income,Gross Savings,Net Savings,Gross Capital Formation,Net Capital Formation,Per Capita GDP,Per Capita GNI,Per Capita NNI,Per Capita GNDI,Per Capita PFCE
,1950-51   ,36,9809,413,10222,649,9572,-41,10181,9531,37,10218,9568,956,307,1029,380,285,284,265,285,254
,1951-52   ,37,10356,507,10863,692,10171,-35,10828,10136,47,10875,10183,1031,339,1342,649,298,297,278,298,274
,1952-53   ,37,10213,450,10663,690,9974,-25,10638,9949,57,10695,10006,925,235,978,288,287,286,267,288,268
,1953-54   ,38,11121,486,11607,647,10960,-19,11588,10941,60,11648,11001,917,271,989,342,306,306,289,307,286
,1954-55   ,39,10447,530,10977,566,10411,-29,10948,10382,57,11005,10439,1075,509,1192,626,284,284,269,285,262
,1955-56   ,39,10615,560,11175,604,10570,-10,11165,10560,90,11255,10650,1387,783,1553,949,284,284,269,286,257
,1956-57   ,40,12672,642,13314,650,12664,-17,13297,12647,85,13382,12732,1651,1001,2186,1536,332,332,315,334,297
,1957-58   ,41,12955,755,13710,722,12988,-20,13690,12968,78,13768,13046,1440,717,2082,1360,335,335,317,337,295
,1958-59   ,42,14492,791,15283,786,14497,-35,15248,14462,77,15325,14539,1407,621,1942,1155,366,365,346,367,328
,1959-60   ,43,15222,880,16102,832,15269,-57,16045,15212,78,16123,15290,1757,924,2163,1331,378,377,357,378,335
,1960-61   ,43,16664,969,17633,881,16752,-72,17561,16680,28,17589,16708,1998,1116,2722,1841,406,405,384,405,355
,1961-62   ,44,17585,1097,18682,976,17706,-98,18584,17608,35,18619,17643,2117,1142,2718,1742,421,419,397,419,363
,1962-63   ,45,18803,1274,20077,1052,19025,-108,19969,18917,34,20003,18951,2507,1455,3246,2194,442,440,417,441,374
,1963-64   ,46,21489,1569,23058,1170,21889,-112,22946,21777,42,22988,21819,2783,1613,3564,2394,497,495,469,495,406
,1964-65   ,47,25105,1790,26895,1327,25568,-145,26750,25423,39,26789,25462,3208,1881,4208,2881,567,564,536,565,468
,1965-66   ,49,26287,2073,28360,1482,26878,-164,28196,26714,79,28275,26793,3941,2460,4981,3499,585,581,551,583,483
,1966-67   ,50,29921,2185,32106,1730,30375,-230,31876,30145,90,31966,30235,4403,2673,5794,4063,649,644,609,646,551
,1967-68   ,51,35162,2439,37601,1976,35625,-258,37343,35367,102,37445,35469,4511,2535,5811,3835,743,738,699,740,642
,1968-69   ,52,37081,2733,39814,2118,37696,-255,39559,37441,128,39687,37569,4730,2612,5632,3514,769,764,723,766,628
,1969-70   ,53,40779,3057,43836,2440,41396,-271,43565,41125,125,43690,41250,6116,3676,6939,4498,829,824,777,826,665
,1970-71   ,54,43379,3438,46817,2935,43882,-284,46533,43598,123,46656,43721,6494,3559,7671,4736,865,860,806,862,690
,1971-72   ,55,46153,3966,50120,3218,46902,-291,49829,46611,163,49992,46774,7351,4134,8681,5463,905,899,841,902,726
,1972-73   ,57,50769,4476,55245,3590,51655,-302,54943,51353,154,55097,51507,7599,4009,8771,5180,974,969,906,972,782
,1973-74   ,58,62219,5022,67241,4323,62917,-325,66916,62592,192,67108,62784,10984,6660,12608,8285,1159,1154,1079,1157,922
,1974-75   ,59,73236,6142,79378,5554,73824,-291,79087,73533,274,79361,73807,12803,7249,15029,9475,1339,1334,1240,1338,1092
,1975-76   ,61,77783,7429,85212,6544,78669,-255,84957,78414,528,85485,78942,14169,7625,15894,9350,1404,1400,1292,1408,1091
,1976-77   ,62,83611,8201,91812,7090,84722,-233,91579,84489,739,92318,85228,16586,9495,17301,10211,1481,1477,1363,1489,1111
,1977-78   ,63,95426,8598,104024,7613,96410,-233,103791,96177,1022,104813,97199,19301,11687,20074,12461,1641,1637,1517,1653,1251
,1978-79   ,65,102558,10113,112671,8444,104227,-156,112515,104071,1042,113557,105113,22880,14436,25771,17327,1739,1736,1606,1752,1331
,1979-80   ,66,111912,11650,123562,10318,113244,153,123715,113397,1624,125339,115021,23771,13453,27269,16951,1861,1863,1708,1888,1410
,1980-81   ,68,133745,13318,147063,11938,135125,345,147408,135470,2257,149665,137727,25307,13369,30498,18560,2166,2171,1995,2204,1686
,1981-82   ,69,156592,16183,172776,14580,158195,40,172816,158235,2221,175037,160456,28989,14409,35409,20829,2497,2497,2287,2529,1901
,1982-83   ,71,174939,18316,193255,16903,176351,-634,192621,175717,2527,195148,178244,33316,16412,39895,22992,2730,2721,2482,2756,2051
,1983-84   ,72,204624,20450,225074,18784,206291,-944,224130,205347,2774,226904,208121,38010,19226,44396,25612,3113,3100,2840,3138,2352
,1984-85   ,74,229798,22390,252188,21924,230264,-1424,250764,228840,3101,253865,231941,44864,22940,52181,30257,3413,3393,3097,3435,2546
,1985-86   ,76,256779,27756,284534,26254,258280,-1429,283105,256851,2821,285926,259672,52249,25995,63420,37165,3769,3750,3402,3787,2750
,1986-87   ,77,286303,32063,318366,29626,288740,-1805,316561,286935,2976,319537,289911,57825,28200,69161,39535,4129,4106,3722,4144,3021
,1987-88   ,79,324562,37303,361865,34707,327158,-2619,359246,324539,3499,362745,328038,73488,38782,85624,50918,4592,4559,4119,4603,3281
,1988-89   ,81,387337,42026,429363,40457,388906,-4496,424867,384410,3841,428708,388251,87868,47411,106106,65649,5334,5278,4775,5326,3740
,1989-90   ,82,446221,47057,493278,46983,446294,-5731,487547,440563,3798,491345,444361,107341,60357,126534,79550,6001,5931,5360,5977,4091
,1990-91   ,84,519792,56317,576109,54598,521511,-7545,568564,513966,3711,572275,517677,134420,79822,162253,107655,6867,6777,6126,6821,4606
,1991-92   ,86,599659,62601,662260,67130,595130,-10077,652183,585053,9382,661565,594435,143176,76046,156196,89066,7737,7619,6835,7729,5185
,1992-93   ,87,687816,73380,761196,76829,684367,-11645,749551,672722,11226,760777,683948,164940,88111,189719,112890,8729,8596,7715,8725,5739
,1993-94   ,89,799472,76521,875992,86018,789974,-12080,863912,777894,16514,880426,794408,194278,108259,210291,124272,9821,9685,8721,9870,6428
,1994-95   ,91,933790,93780,1027570,100110,927460,-13083,1014487,914377,25416,1039903,939793,247177,147067,274910,174800,11292,11148,10048,11428,7322
,1995-96   ,93,1093302,112281,1205583,116598,1088985,-13484,1192099,1075501,22112,1214211,1097613,288646,172048,329649,213051,12991,12846,11589,13084,8275
,1996-97   ,95,1272362,122454,1394816,134384,1260432,-13082,1381734,1247350,43968,1425702,1291318,318126,183741,357378,222994,14744,14606,13186,15071,9518
,1997-98   ,96,1414891,130403,1545294,152508,1392786,-13205,1532089,1379581,43764,1575853,1423345,379062,226554,427516,275008,16030,15893,14311,16347,10245
,1998-99   ,98,1631019,141278,1772297,169653,1602644,-14968,1757329,1587676,43242,1800571,1630918,420622,250969,464122,294470,18029,17877,16151,18317,11504
,1999-00   ,100,1816202,172060,1988262,193527,1794735,-15431,1972831,1779304,53132,2025963,1832436,523256,329729,572904,379377,19863,19709,17775,20239,12714
,2000-01   ,102,1955518,184368,2139886,215005,1924881,-22733,2117153,1902148,58811,2175964,1960959,531523,316518,561703,346698,21000,20777,18667,21354,13385
,2001-02   ,104,2126091,189152,2315243,238169,2077074,-20068,2295175,2057006,73363,2368538,2130369,603110,364940,607260,369091,22262,22069,19779,22774,14280
,2002-03   ,106,2290883,201731,2492614,256817,2235797,-16690,2475924,2219107,79229,2555153,2298336,668328,411511,667435,410618,23604,23446,21014,24197,14878
,2003-04   ,107,2566465,226065,2792530,284459,2508071,-20708,2771822,2487363,99165,2870987,2586528,826056,541597,810624,526164,26050,25857,23203,26782,16022
,2004-05   ,109,2904299,282033,3186332,333959,2852373,-22375,3163957,2829998,91971,3255928,2921969,1108167,774208,1121505,787546,29259,29054,25987,29898,17073
,2005-06   ,111,3326914,305211,3632125,379968,3252156,-26116,3606009,3226040,108565,3714574,3334605,1278387,898418,1322989,943021,32840,32604,29169,33586,18843
,2006-07   ,112,3904895,349734,4254629,438327,3816302,-33234,4221395,3783068,134608,4356003,3917676,1485991,1047664,1531514,1093187,37920,37624,33717,38824,21277
,2007-08   ,114,4490188,408474,4898662,508936,4389726,-20512,4878150,4369214,167501,5045651,4536715,1852643,1343707,1917072,1408136,43046,42866,38394,44338,24003
,2008-09   ,115,5172838,341314,5514152,593393,4920759,-32923,5481229,4887836,203209,5684438,5091045,1986268,1392875,2115027,1521634,47783,47498,42356,49259,27082
,2009-10   ,117,5974906,391501,6366407,690281,5676126,-38000,6328407,5638126,247113,6575520,5885239,2292686,1602405,2473478,1783197,54414,54089,48189,56201,30450
,2010-11   ,119,7083671,550801,7634472,795945,6838527,-81807,7552665,6756720,242001,7794666,6998721,2817807,2021863,3037520,2241575,64372,63682,56971,65722,35227
,2011-12   ,122,8106946,629383,8736329,917175,7819154,-76824,8659505,7742330,304902,8964407,8047232,3026837,2109662,3403008,2485833,71609,70980,63462,73479,40250
,2012-13   ,124,9202692,741321,9944013,1060905,8883108,-116763,9827250,8766345,350081,10177331,9116426,3369202,2308297,3847122,2786217,80518,79573,70983,82408,45461
,2013-14   ,125,10363153,870369,11233522,1195975,10037547,-139884,11093638,9897663,395918,11489556,10293581,3608193,2412218,3794135,2598160,89796,88678,79118,91843,51764
,2014-15   ,127,11504279,963680,12467959,1342291,11125668,-147430,12320529,10978238,405154,12725683,11383392,4019957,2677666,4179779,2837487,98405,97242,86647,100439,57201
,2015-16   ,128,12574499,1197375,13771874,1449697,12322177,-159779,13612095,12162398,413083,14025178,12575481,4282259,2832562,4422659,2972961,107341,106096,94797,109315,63339
,2016-17   ,130,13965200,1426469,15391669,1591332,13800336,-176400,15077384,13492657,379438,15594707,14003374,4825113,3233781,4918077,3326745,118489,117131,103870,120052,70258
,2017-18   ,131,15505665,1584377,17090042,1764812,15325231,-184813,16905230,15140418,405740,17310970,15546158,5480741,3715929,5791573,4026761,130061,128655,115224,131743,76379
,2018-19   ,133,17175128,1724540,18899668,1984290,16915378,-202324,18697344,16713054,493740,19191083,17206793,6000390,4016100,6396053,4411763,142424,140899,125946,144620,84441
,2019-20   ,134,18355109,1719746,20074856,2165145,17909710,-193114,19881742,17716597,540364,20422106,18256961,5995942,3830797,6161213,3996067,149701,148261,132115,152290,91254
,2020-21   ,136,18057810,1743104,19800914,2340069,17460845,-266687,19534226,17194158,552188,20086415,17746346,5592446,3252377,5403110,3063041,146087,144120,126855,148194,88775
,2021-22   ,137,21349399,2315238,23664637,-,-,-,23296345,20529727,-,-,-,-,-,-,-,172913,170222,150007,-,102992
,,,,,,,,,,,,,,,,,,,,,,
,"Notes : 1. Data for 2018-19 are Third Revised Estimates,for 2019-20 are Second Revised Estimates and 
                 for 2020-21 are First Revised Estimates.
             2. Data for 2021-22 are Provisional Estimates.
             3. Population figures relates to mid-financial year.
             4. For the years prior to 2004-05, the additivity of detailed estimates with the aggregates will not be maintained since estimates for that period at detailed and aggregate levels have been compiled by adopting 
                  the splicing method. 


Source : National Statistical Office (NSO).",,,,,,,,,,,,,,,,,,,,,
,Methodology for Back-Series Data,,,,,,,,,,,,,,,,,,,,,